Type,Bank,Country,Region,Year,AmountUSDMillions,Group,Sector,Client,ForestRiskClientRegion
Corporate loan,Banco do Brasil,Brazil,South America,2019,485.42,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,484.21,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Revolving credit facility,Malayan Banking,Malaysia,Southeast Asia,2016,481.73,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2016,475.23,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,474.37,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,466.5,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,464.3,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Shareholding,KWAP Retirement Fund,Malaysia,Southeast Asia,2021,463.32,Sime Darby,Palm oil,Sime Darby Plantations,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,457.54,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,457.01,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2015,450,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2013,449.74,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,434.69,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,413.24,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2013,407.15,Albukhary Group ,Palm oil,Tradewinds Malaysia,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2014,397.96,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,395.54,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,392.27,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Public Bank,Malaysia,Southeast Asia,2016,388.32,Albukhary Group ,Palm oil,Tradewinds Plantation,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2014,387.32,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,384.79,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Shareholding,KWAP Retirement Fund,Malaysia,Southeast Asia,2021,381.69,Top Glove,Rubber,Top Glove,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2019,377.27,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,376.87,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,376.8,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,375.78,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,369.98,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,364.12,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,356.7,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,352.57,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,351.37,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,347.09,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,347.07,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,339.58,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Bank Central Asia,Indonesia,Southeast Asia,2015,337.49,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2019,336.25,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,335.14,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,334.47,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Shareholding,Fortune Holdings,Singapore,Southeast Asia,2021,323.63,Harita Group,Palm oil,Bumitama Agri,Southeast Asia
Revolving credit facility,BNDES,Brazil,South America,2017,317.3,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,316.96,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,302.84,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Shareholding,BlackRock,United States,North America,2021,301.46,Suzano,Pulp & paper,Suzano,Latin America
Shareholding,Vanguard,United States,North America,2021,301.2,Top Glove,Rubber,Top Glove,Southeast Asia
Shareholding,Itaú Unibanco,Brazil,South America,2021,294.8,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,294.42,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,289.82,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,287.04,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,286.3,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,283.73,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Bond issuance,Banco do Brasil,Brazil,South America,2019,283.49,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2019,283.49,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Mizuho Financial,Japan,East Asia,2019,283.49,Suzano,Pulp & paper,Suzano Austria,Latin America
Shareholding,MFP Capital Corporation,Malaysia,Southeast Asia,2021,278.1,Top Glove,Rubber,Top Glove,Southeast Asia
Shareholding,BNDES,Brazil,South America,2021,277.25,Klabin,Pulp & paper,Klabin,Latin America
Revolving credit facility,Fubon Financial,Taiwan,East Asia,2016,275,Harita Group,Palm oil,Bumitama Agri,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2016,274.93,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Shareholding,Vanguard,United States,North America,2021,273.71,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,270.15,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Shareholding,AIA Group,Hong Kong,East Asia,2021,267.63,Top Glove,Rubber,Top Glove,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2017,266.92,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,262.47,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,262.15,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,262.09,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,China Development Bank,China,East Asia,2016,260,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2015,256.48,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,252.12,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Bond issuance,Bank of America,United States,North America,2016,251.91,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Bradesco,Brazil,South America,2016,251.91,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2016,251.91,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2016,251.91,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2016,251.91,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Bank of America,United States,North America,2016,251.91,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,Bradesco,Brazil,South America,2016,251.91,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2016,251.91,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2016,251.91,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2016,251.91,Minerva,Soy,Minerva Luxembourg,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,241.78,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,240.59,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,238.73,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Bond issuance,Agricultural Bank of China,China,East Asia,2018,237.5,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Industrial and Commercial Bank of China,China,East Asia,2018,237.5,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2016,235.7,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Shareholding,SLC Participações,Brazil,South America,2021,235.51,SLC Agricola,Soy,SLC Agricola,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2019,234.54,Sinar Mas Group,Pulp & paper,CA Investment Brazil,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,234.46,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Shareholding,Silchester International Investors,United Kingdom,Europe other,2021,230.23,Sinar Mas Group,Palm oil,Golden Agri-Resources,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2017,229.79,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2016,225,Sinar Mas Group,Pulp & paper,Lontar Papyrus Pulp & Paper,Southeast Asia
Bond issuance,Huaxi Securities,China,East Asia,2019,223.51,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2014,222.49,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,RHB Banking,Malaysia,Southeast Asia,2014,222.49,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2013,222.39,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Shareholding,Government Pension Fund Global,Norway,Europe other,2021,222.36,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,221.99,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,220.43,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Corporate loan,Finnvera,Finland,EU27,2013,220,CMPC,Pulp & paper,CMPC Celulose Riograndense,Latin America
Corporate loan,Finnvera,Finland,EU27,2013,220,CMPC,Pulp & paper,CMPC Celulose Riograndense,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,218.21,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2019,215.13,Austindo Group,Palm oil,Austindo Nusantara Jaya,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2014,214.42,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Shareholding,Bank of New York Mellon,United States,North America,2021,214.34,Klabin,Pulp & paper,Klabin,Latin America
Shareholding,Gek Poh Holdings,Malaysia,Southeast Asia,2021,212.59,Hap Seng Group,Palm oil,Hap Seng Plantations,Southeast Asia
Corporate loan,Public Bank,Malaysia,Southeast Asia,2015,211.16,Albukhary Group ,Palm oil,Tradewinds Plantation,Southeast Asia
Shareholding,Employees Provident Fund,Malaysia,Southeast Asia,2021,210.32,Genting Group,Palm oil,Genting Plantations,Southeast Asia
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2019,205,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Revolving credit facility,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2017,201.94,Sime Darby Plantations,Palm oil,Sime Darby Plantations,Southeast Asia
Revolving credit facility,Standard Chartered,United Kingdom,Europe other,2017,201.94,Sime Darby Plantations,Palm oil,Sime Darby Plantations,Southeast Asia
Bond issuance,BTG Pactual,Brazil,South America,2013,201.17,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Credit Suisse,Switzerland,Europe other,2013,201.17,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2013,201.17,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,BTG Pactual,Brazil,South America,2013,201.17,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,Credit Suisse,Switzerland,Europe other,2013,201.17,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2013,201.17,Minerva,Soy,Minerva Luxembourg,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,200.73,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso do Sul,Latin America
Corporate loan,Credit Suisse,Switzerland,Europe other,2014,200,Rajawali Group,Palm oil,Will Overseas,Southeast Asia
Corporate loan,Bank of China,China,East Asia,2013,200,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Corporate loan,China Development Bank,China,East Asia,2013,200,Royal Golden Eagle Group,Pulp & paper,Asia Symbol China,Southeast Asia
Bond issuance,Malayan Banking,Malaysia,Southeast Asia,2016,198.91,Sime Darby Plantations,Palm oil,Kumpulan Sime Darby,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2014,198.6,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,197.87,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Bond issuance,RHB Banking,Malaysia,Southeast Asia,2013,197.82,Surya Dumai Group,Palm oil,First Resources,Southeast Asia
Shareholding,Lembaga Kemajuan Tanah Persekutuan (FELDA),Malaysia,Southeast Asia,2021,197.66,Batu Kawan Group,Palm oil,Kuala Lumpur Kepong,Southeast Asia
Corporate loan,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2018,197.57,Austindo Group,Palm oil,Austindo Nusantara Jaya,Southeast Asia
Shareholding,KWAP Retirement Fund,Malaysia,Southeast Asia,2021,197.22,IOI Group,Palm oil,IOI Corporation,Southeast Asia
Bond issuance,China Development Bank,China,East Asia,2013,193.97,Sinar Mas Group,Pulp & paper,Hainan Jinhai Pulp & Paper,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2014,193.95,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Revolving credit facility,ABN Amro,Netherlands,EU27,2018,191.67,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Mitsubishi UFJ Financial,Japan,East Asia,2018,191.67,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Bank of America,United States,North America,2018,191.67,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Crédit Agricole,France,EU27,2018,191.67,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,ING Group,Netherlands,EU27,2018,191.67,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Mizuho Financial,Japan,East Asia,2018,191.67,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,BPCE Group,France,EU27,2018,191.67,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,Scotiabank,Canada,North America,2018,191.67,Suzano,Pulp & paper,Suzano,Latin America
Revolving credit facility,SMBC Group,Japan,East Asia,2018,191.67,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,BNDES,Brazil,South America,2015,191.38,CMPC,Pulp & paper,CMPC Celulose Riograndense,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,190.51,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,190.43,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,188.95,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Shareholding,Safra Group,Brazil,South America,2021,188.12,Sinar Mas Group,Palm oil,Golden Agri-Resources,Southeast Asia
Corporate loan,Credit Suisse,Switzerland,Europe other,2016,187.12,Austindo Group,Palm oil,Austindo Nusantara Jaya,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2017,186.75,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Bond issuance,Bank of America,United States,North America,2016,186.6,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Bradesco,Brazil,South America,2016,186.6,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2016,186.6,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2016,186.6,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2016,186.6,Minerva,Beef,Minerva Luxembourg,Latin America
Bond issuance,Bank of America,United States,North America,2016,186.6,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,Bradesco,Brazil,South America,2016,186.6,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2016,186.6,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2016,186.6,Minerva,Soy,Minerva Luxembourg,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2016,186.6,Minerva,Soy,Minerva Luxembourg,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,185.26,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2019,185,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Bradesco,Brazil,South America,2018,184.9,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
